Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
2500122,Kailash Restaurant,Aurangabad,"Rachanakar colony, Railway Station Road, Usmanpura, Aurangabad","North Indian, Chinese, South Indian, Fast Food",3.3
2500346,Yalla Yalla,Aurangabad,"Near Gopal Tea Corner, Usmanpura Circle, Usmanpura, Aurangabad","North Indian, Hyderabadi",3.3
50943,Sultans of Spice,Bangalore,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, Mughlai",4.1
58268,The Fatty Bao - Asian Gastro Bar,Bangalore,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Asian,4.7
51705,Toit,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore","Italian, American, Pizza",4.8
18162866,Three Dots & A Dash,Bangalore,"840/1,100 Feet Road, Metro Pillar 56-57, Indiranagar, Bangalore","European, Continental",3.9
18407918,Bombay Brasserie,Bangalore,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Modern Indian,4.2
56464,Glen's Bakehouse,Bangalore,"297, 100 Feet Road, Indiranagar, Bangalore","Bakery, Desserts, Cafe",4.0
18221572,Onesta,Bangalore,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore","Pizza, Cafe, Italian",4.3
18359919,Onesta,Bangalore,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore","Pizza, Cafe, Italian",4.6
18439634,ECHOES Koramangala,Bangalore,"44, 4th B Cross, Koramangala 5th Block, Bangalore","Continental, American, Italian, North Indian, Chinese, Cafe",4.7
51040,Truffles,Bangalore,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore","American, Burger, Cafe",4.7
54162,The Black Pearl,Bangalore,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, European, Mediterranean",4.1
18305628,Eat Street,Bangalore,"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore","North Indian, Chinese, Italian, Street Food, Desserts",4.3
18385443,Koramangala Social,Bangalore,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore","Continental, American",4.5
56618,AB's - Absolute Barbecues,Bangalore,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore","European, Mediterranean, North Indian",4.6
18353121,Flechazo,Bangalore,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore","Asian, Mediterranean, North Indian",4.4
